Nº,NOMBRE DE VARIABLE,DESCRIPCIÓN DE VARIABLE,FORMATO O FUENTE,OBSERVACIÓN,CATALOGOS
33,RESULTADO_PCR,"Identifica el resultado de la muestra del paciente a los diferentes virus respiratorios que se analizan en los laboratorios de la Red Nacional de Laboratorios de Vigilancia Epidemiológica (INDRE, LESP y LAVE) y laboratorios privados avalados por el InDRE cuyos resultados son registrados en SISVER.",CATALOGO RESULTADO_PCR,Actualización en Julio del 2024,"{""1"": ""INFLUENZA AH1N1 PMD"", ""2"": ""INFLUENZA A H1"", ""3"": ""INFLUENZA A H3"", ""4"": ""INFLUENZA B"", ""5"": ""NEGATIVO"", ""6"": ""MUESTRA NO ADECUADA"", ""7"": ""ADENOVIRUS"", ""8"": ""PARAINFLUENZA 1"", ""9"": ""PARAINFLUENZA 2"", ""10"": ""PARAINFLUENZA 3"", ""11"": ""VIRUS SINCICIAL RESPIRATORIO"", ""13"": ""INFLUENZA A NO SUBTIPIFICADA"", ""14"": ""INFLUENZA A H5"", ""17"": ""MUESTRA RECHAZADA"", ""20"": ""VIRUS SINCICIAL RESPIRATORIO A"", ""21"": ""VIRUS SINCICIAL RESPIRATORIO B"", ""22"": ""CORONA 229E"", ""23"": ""CORONA OC43"", ""24"": ""CORONA SARS"", ""25"": ""CORONA NL63"", ""26"": ""CORONA HKU1"", ""27"": ""MUESTRA QUE NO AMPLIFICO"", ""28"": ""ENTEROV//RHINOVIRUS"", ""29"": ""METAPNEUMOVIRUS"", ""30"": ""MUESTRA SIN AISLAMIENTO"", ""32"": ""PARAINFLUENZA 4"", ""33"": ""MUESTRA SIN CELULAS"", ""34"": ""SARS-CoV-2"", ""35"": ""MERS-CoV"", ""36"": ""SARS-CoV"", ""37"": ""BOCAVIRUS"", ""41"": ""MUESTRA NO RECIBIDA"", ""997"": ""NO APLICA (CASO SIN MUESTRA)"", ""998"": ""SIN COINFECCIÓN"", ""999"": ""PENDIENTE""}"
34,RESULTADO_PCR_COINFECCION,"Identifica una coinfección (infección simultanea) encontrada en la muestra del paciente a los diferentes virus respiratorios que se analizan en los laboratorios de la Red Nacional de Laboratorios de Vigilancia Epidemiológica (INDRE, LESP y LAVE) y laboratorios privados avalados por el InDRE cuyos resultados son registrados en SISVER.",CATALOGO RESULTADO_PCR,Actualización en Julio del 2024,"{""1"": ""INFLUENZA AH1N1 PMD"", ""2"": ""INFLUENZA A H1"", ""3"": ""INFLUENZA A H3"", ""4"": ""INFLUENZA B"", ""5"": ""NEGATIVO"", ""6"": ""MUESTRA NO ADECUADA"", ""7"": ""ADENOVIRUS"", ""8"": ""PARAINFLUENZA 1"", ""9"": ""PARAINFLUENZA 2"", ""10"": ""PARAINFLUENZA 3"", ""11"": ""VIRUS SINCICIAL RESPIRATORIO"", ""13"": ""INFLUENZA A NO SUBTIPIFICADA"", ""14"": ""INFLUENZA A H5"", ""17"": ""MUESTRA RECHAZADA"", ""20"": ""VIRUS SINCICIAL RESPIRATORIO A"", ""21"": ""VIRUS SINCICIAL RESPIRATORIO B"", ""22"": ""CORONA 229E"", ""23"": ""CORONA OC43"", ""24"": ""CORONA SARS"", ""25"": ""CORONA NL63"", ""26"": ""CORONA HKU1"", ""27"": ""MUESTRA QUE NO AMPLIFICO"", ""28"": ""ENTEROV//RHINOVIRUS"", ""29"": ""METAPNEUMOVIRUS"", ""30"": ""MUESTRA SIN AISLAMIENTO"", ""32"": ""PARAINFLUENZA 4"", ""33"": ""MUESTRA SIN CELULAS"", ""34"": ""SARS-CoV-2"", ""35"": ""MERS-CoV"", ""36"": ""SARS-CoV"", ""37"": ""BOCAVIRUS"", ""41"": ""MUESTRA NO RECIBIDA"", ""997"": ""NO APLICA (CASO SIN MUESTRA)"", ""998"": ""SIN COINFECCIÓN"", ""999"": ""PENDIENTE""}"
35,TOMA_MUESTRA_ANTIGENO,Identifica si al paciente se le tomó muestra de antígeno para SARS-CoV-2,CATALOGO SI_NO,Actualización en Noviembre del 2020,"{""1"": ""SI "", ""2"": ""NO "", ""97"": ""NO APLICA"", ""98"": ""SE IGNORA"", ""99"": ""NO ESPECIFICADO""}"
36,RESULTADO_ANTIGENO,Identifica el resultado del análisis de la muestra de antígeno tomada al paciente,CATALOGO RESULTADO_ANTIGENO,Actualización en Noviembre del 2020,"{""1"": ""POSITIVO A SARS-COV-2"", ""2"": ""NEGATIVO A SARS-COV-2"", ""97"": ""NO APLICA (CASO SIN MUESTRA)""}"
37,CLASIFICACION_FINAL_COVID,"Identifica si el paciente es un caso de COVID-19 según el catálogo ""CLASIFICACION_FINAL_COVID"".",CATALOGO CLASIFICACION_FINAL_COVID,"Actualización en Julio del 2024: 
Cambia de nombre de: CLASIFICACIÓN FINAL a CLASIFICACIÓN_FINAL_COVID
Así mismo, cambia el nombre de su catálogo de CLASIFICACION_FINAL a CLASIFICACION_FINAL_COVID","{""1"": ""CASO DE COVID-19 CONFIRMADO POR ASOCIACIÓN CLÍNICA EPIDEMIOLÓGICA"", ""2"": ""CASO DE COVID-19 CONFIRMADO POR COMITÉ DE  DICTAMINACIÓN"", ""3"": ""CASO DE SARS-COV-2  CONFIRMADO"", ""4"": ""INVÁLIDO POR LABORATORIO"", ""5"": ""NO REALIZADO POR LABORATORIO"", ""6"": ""CASO SOSPECHOSO"", ""7"": ""NEGATIVO A SARS-COV-2""}"
38,CLASIFICACION_FINAL_FLU,"Identifica si el paciente es un caso de influenza según el catálogo ""CLASIFICACION_FINAL_FLU"".",CATALOGO CLASIFICACION_FINAL_FLU,Actualización en Julio del 2024,"{""3"": ""CASO DE INFLUENZA CONFIRMADO"", ""4"": ""INVÁLIDO POR LABORATORIO"", ""5"": ""NO REALIZADO POR LABORATORIO"", ""6"": ""CASO SOSPECHOSO"", ""7"": ""NEGATIVO A INFLUENZA""}"
39,MIGRANTE,Identifica si el paciente es una persona migrante.,CATALOGO SI_NO,-,"{""1"": ""SI "", ""2"": ""NO "", ""97"": ""NO APLICA"", ""98"": ""SE IGNORA"", ""99"": ""NO ESPECIFICADO""}"
40,PAIS_NACIONALIDAD,Identifica la nacionalidad del paciente.,"TEXTO, 99= SE IGNORA",-,{}
41,PAIS_ORIGEN,Identifica el país del que partió el paciente rumbo a México.,"TEXTO, 97= NO APLICA",-,{}
42,UCI,Identifica si el paciente requirió ingresar a una Unidad de Cuidados Intensivos.,CATALOGO SI_NO,-,"{""1"": ""SI "", ""2"": ""NO "", ""97"": ""NO APLICA"", ""98"": ""SE IGNORA"", ""99"": ""NO ESPECIFICADO""}"
