variable,traduccion
RESULTADO_PCR-2,RESULTADO_PCR-INFLUENZA A H1
RESULTADO_PCR-3,RESULTADO_PCR-INFLUENZA A H3
RESULTADO_PCR-4,RESULTADO_PCR-INFLUENZA B
RESULTADO_PCR-5,RESULTADO_PCR-NEGATIVO
RESULTADO_PCR-6,RESULTADO_PCR-MUESTRA NO ADECUADA
RESULTADO_PCR-7,RESULTADO_PCR-ADENOVIRUS
RESULTADO_PCR-8,RESULTADO_PCR-PARAINFLUENZA 1
RESULTADO_PCR-9,RESULTADO_PCR-PARAINFLUENZA 2
RESULTADO_PCR-10,RESULTADO_PCR-PARAINFLUENZA 3
RESULTADO_PCR-11,RESULTADO_PCR-VIRUS SINCICIAL RESPIRATORIO
RESULTADO_PCR-13,RESULTADO_PCR-INFLUENZA A NO SUBTIPIFICADA
RESULTADO_PCR-14,RESULTADO_PCR-INFLUENZA A H5
RESULTADO_PCR-17,RESULTADO_PCR-MUESTRA RECHAZADA
RESULTADO_PCR-20,RESULTADO_PCR-VIRUS SINCICIAL RESPIRATORIO A
RESULTADO_PCR-21,RESULTADO_PCR-VIRUS SINCICIAL RESPIRATORIO B
RESULTADO_PCR-22,RESULTADO_PCR-CORONA 229E
RESULTADO_PCR-23,RESULTADO_PCR-CORONA OC43
RESULTADO_PCR-24,RESULTADO_PCR-CORONA SARS
RESULTADO_PCR-25,RESULTADO_PCR-CORONA NL63
RESULTADO_PCR-26,RESULTADO_PCR-CORONA HKU1
RESULTADO_PCR-27,RESULTADO_PCR-MUESTRA QUE NO AMPLIFICO
RESULTADO_PCR-28,RESULTADO_PCR-ENTEROV//RHINOVIRUS
RESULTADO_PCR-29,RESULTADO_PCR-METAPNEUMOVIRUS
RESULTADO_PCR-30,RESULTADO_PCR-MUESTRA SIN AISLAMIENTO
RESULTADO_PCR-32,RESULTADO_PCR-PARAINFLUENZA 4
RESULTADO_PCR-33,RESULTADO_PCR-MUESTRA SIN CELULAS
RESULTADO_PCR-34,RESULTADO_PCR-SARS-CoV-2
RESULTADO_PCR-35,RESULTADO_PCR-MERS-CoV
RESULTADO_PCR-36,RESULTADO_PCR-SARS-CoV
RESULTADO_PCR-37,RESULTADO_PCR-BOCAVIRUS
RESULTADO_PCR-41,RESULTADO_PCR-MUESTRA NO RECIBIDA
RESULTADO_PCR-997,RESULTADO_PCR-NO APLICA (CASO SIN MUESTRA)
RESULTADO_PCR-998,RESULTADO_PCR-SIN COINFECCIÓN
RESULTADO_PCR-999,RESULTADO_PCR-PENDIENTE
RESULTADO_PCR_COINFECCION-1,RESULTADO_PCR_COINFECCION-INFLUENZA AH1N1 PMD
RESULTADO_PCR_COINFECCION-2,RESULTADO_PCR_COINFECCION-INFLUENZA A H1
RESULTADO_PCR_COINFECCION-3,RESULTADO_PCR_COINFECCION-INFLUENZA A H3
RESULTADO_PCR_COINFECCION-4,RESULTADO_PCR_COINFECCION-INFLUENZA B
RESULTADO_PCR_COINFECCION-5,RESULTADO_PCR_COINFECCION-NEGATIVO
RESULTADO_PCR_COINFECCION-6,RESULTADO_PCR_COINFECCION-MUESTRA NO ADECUADA
RESULTADO_PCR_COINFECCION-7,RESULTADO_PCR_COINFECCION-ADENOVIRUS
RESULTADO_PCR_COINFECCION-8,RESULTADO_PCR_COINFECCION-PARAINFLUENZA 1
RESULTADO_PCR_COINFECCION-9,RESULTADO_PCR_COINFECCION-PARAINFLUENZA 2
RESULTADO_PCR_COINFECCION-10,RESULTADO_PCR_COINFECCION-PARAINFLUENZA 3
RESULTADO_PCR_COINFECCION-11,RESULTADO_PCR_COINFECCION-VIRUS SINCICIAL RESPIRATORIO
RESULTADO_PCR_COINFECCION-13,RESULTADO_PCR_COINFECCION-INFLUENZA A NO SUBTIPIFICADA
RESULTADO_PCR_COINFECCION-14,RESULTADO_PCR_COINFECCION-INFLUENZA A H5
RESULTADO_PCR_COINFECCION-17,RESULTADO_PCR_COINFECCION-MUESTRA RECHAZADA
RESULTADO_PCR_COINFECCION-20,RESULTADO_PCR_COINFECCION-VIRUS SINCICIAL RESPIRATORIO A
RESULTADO_PCR_COINFECCION-21,RESULTADO_PCR_COINFECCION-VIRUS SINCICIAL RESPIRATORIO B
RESULTADO_PCR_COINFECCION-22,RESULTADO_PCR_COINFECCION-CORONA 229E
RESULTADO_PCR_COINFECCION-23,RESULTADO_PCR_COINFECCION-CORONA OC43
RESULTADO_PCR_COINFECCION-24,RESULTADO_PCR_COINFECCION-CORONA SARS
RESULTADO_PCR_COINFECCION-25,RESULTADO_PCR_COINFECCION-CORONA NL63
