variable,alias
cambio_peso_pandemia-1,h0906-aumentó?
cambio_peso_pandemia-2,h0906-disminuyó?
cambio_peso_pandemia-3,h0906-fue igual?
cambio_peso_ultimo_anio-1,a0107-Ganó peso.
cambio_peso_ultimo_anio-2,a0107-Perdió peso.
cambio_peso_ultimo_anio-3,a0107-No ha experimentado cambios en su Peso.
cambio_peso_ultimo_anio-4,a0107-Ganó o perdió peso porque está embarazada.
cambio_peso_ultimo_anio-9,a0107-No sabe.
cambio_planes_falta_agua-1,h0804-Nunca (0 veces en las últimas 4 semanas)
cambio_planes_falta_agua-2,h0804-Raramente (1-2 veces en las últimas 4 semanas)
cambio_planes_falta_agua-3,h0804-A veces (3-10 veces en las últimas 4 semanas)
cambio_planes_falta_agua-4,h0804-Frecuentemente (11-20 veces en las últimas 4 semana)
cambio_planes_falta_agua-5,h0804-Siempre (Más de 20 veces en las últimas 4 semanas)
cambio_planes_falta_agua-88,h0804-No aplica
cambio_planes_falta_agua-99,h0804-No sabe
camina_solo_recreacion-1,a1414-Sí
camina_solo_recreacion-2,a1414-No
camina_solo_recreacion-88,a1414-No responde
camina_solo_recreacion-99,a1414-No sabe
camina_solo_traslado-1,a1411-Sí
camina_solo_traslado-2,a1411-No
camina_solo_traslado-88,a1411-No responde
camina_solo_traslado-99,a1411-No sabe
combustible_calefaccion-1,h0124-Gas
combustible_calefaccion-2,h0124-Electricidad
combustible_calefaccion-3,h0124-Queroseno
combustible_calefaccion-4,h0124-Carbón mineral
combustible_calefaccion-5,h0124-Carbón vegetal
combustible_calefaccion-6,h0124-Leña o madera
combustible_calefaccion-7,h0124-Residuos agrícolas o de cultivos
combustible_calefaccion-8,h0124-Estiércol animal
combustible_calefaccion-9,h0124-Matojos o hierba
combustible_calefaccion-10,h0124-Otro combustible
combustible_cocinar-1,h0109-leña?
combustible_cocinar-2,h0109-carbón?
combustible_cocinar-3,h0109-gas de cilindro o estacionario?
combustible_cocinar-4,h0109-gas natural o de tubería?
combustible_cocinar-5,h0109-electricidad?
combustible_cocinar-6,h0109-¿Otro combustible?
combustible_cocinar-7,h0109-¿No cocinan?
comio_menos_alimentos_adulto-1,h0706-Sí
comio_menos_alimentos_adulto-2,h0706-No
comio_menos_alimentos_adulto-8,h0706-No responde
comio_menos_alimentos_adulto-9,h0706-No sabe
comio_menos_alimentos_menor-1,h0713-Sí
comio_menos_alimentos_menor-2,h0713-No
comio_menos_alimentos_menor-8,h0713-No responde
comio_menos_alimentos_menor-9,h0713-No sabe
como_accidento-1,a1102-Choque entre vehiculos de 4 o más ruedas
como_accidento-2,a1102-Choque en motocicleta
como_accidento-3,a1102-Choque atropellamiento como ciclista
como_accidento-4,a1102-Atropellado como peatón
como_accidento-5,"a1102-Otros accidentes de transporte: avión, tren, lancha"
como_accidento-6,a1102-Caída a nivel de piso
como_accidento-7,"a1102-Golpe con objeto, equipo o maquinaria"
como_accidento-8,"a1102-Caída de un nivel a otro: silla, escalera, etc"
como_accidento-9,"a1102-Golpe, rasguño o mordida de persona o animal (caballo, perro"
como_accidento-10,"a1102-Exposición a corriente eléctrica, radiación"
como_accidento-11,a1102-Exposición a humo o fuego
como_accidento-12,a1102-Contacto con superficies o sustancias calientes (quemaduras)
como_accidento-13,"a1102-Exposición a fuerzas de la naturaleza: rayo, granizo"
como_accidento-14,a1102-Picadura de animal ponzoñoso o contacto con plantas venenosa
como_accidento-15,"a1102-Envenenamiento accidental: alimentos, medicamentos"
como_accidento-16,"a1102-Sumersión en depósitos de agua: alberca, cisterna"
como_accidento-17,a1102-Otros accidentes que obstruyen la respiración: objeto extrañ
como_accidento-18,a1102-Exposición accidental a otros factores
como_accidento-99,a1102-NS/NR
como_considera_peso-1,a0106-mayor al saludable?
como_considera_peso-2,a0106-saludable?
como_considera_peso-3,a0106-menor al saludable?
como_considera_peso-8,a0106-No responde.
como_considera_peso-9,a0106-No sabe
como_diagnostico-1,h1206-Con prueba
como_diagnostico-2,h1206-Con síntomas
como_diagnostico-3,h1206-Ambas
como_diagnostico-9,h1206-NS/NR
con_lentes_dificultad_ver-1,a1403a-Ninguna dificultad
con_lentes_dificultad_ver-2,a1403a-Cierta dificultad
con_lentes_dificultad_ver-3,a1403a-Mucha dificultad
con_lentes_dificultad_ver-4,a1403a-Le resulta imposible ver
con_pretesis_auditiva_dificultad_oir-1,a1404a-Ninguna dificultad
con_pretesis_auditiva_dificultad_oir-2,a1404a-Cierta dificultad
con_pretesis_auditiva_dificultad_oir-3,a1404a-Mucha dificultad
con_pretesis_auditiva_dificultad_oir-4,a1404a-Le resulta imposible oír
condicion_maternal-1,an06-Está embarazada?
condicion_maternal-2,an06-Está dando pecho?
condicion_maternal-3,an06-Está embarazada y dando pecho?
condicion_maternal-4,an06-Ninguna de las anteriores
condicion_maternal-9,an06-No sabe
conocimiento_covid-1,h1001-Enfermedad crónica
conocimiento_covid-2,h1001-Enfermedad infecciosa causada por un virus
conocimiento_covid-3,h1001-Enfermedad renal
conocimiento_covid-4,h1001-Enfermedad causada por estrés o ansiedad
conocimiento_covid-5,h1001-No existe esta enfermedad
conocimiento_covid-6,h1001-No sabe
conocimiento_covid-7,h1001-Otro (especifique)
conocimiento_covid-8,h1001-No desea responder
considera_seguras_vacunas-1,h1610-Sí
considera_seguras_vacunas-2,h1610-No
considera_seguras_vacunas-3,h1610-NS
considera_seguras_vacunas-9,h1610-NR
consumo_botanas_covid-1,h1309-Aumentó ?
consumo_botanas_covid-2,h1309-Disminuyó ?
consumo_botanas_covid-3,h1309-Fue igual ?
consumo_botanas_covid-4,h1309-No sabe/no responde
consumo_carnes_covid-1,h1304-Aumentó ?
consumo_carnes_covid-2,h1304-Disminuyó ?
consumo_carnes_covid-3,h1304-Fue igual ?
consumo_carnes_covid-4,h1304-No sabe/no responde
consumo_cigarros_electronicos-1,a1307-todos los días?
consumo_cigarros_electronicos-2,a1307-algunos días?
consumo_cigarros_electronicos-3,a1307-Actuamente no consume
consumo_cigarros_electronicos-4,a1307-No conoce el cigarro electrónico
consumo_cigarros_electronicos-9,a1307-No responde
consumo_dulces_covid-1,h1308-Aumentó ?
consumo_dulces_covid-2,h1308-Disminuyó ?
consumo_dulces_covid-3,h1308-Fue igual ?
consumo_dulces_covid-4,h1308-No sabe/no responde
consumo_frutas_covid-1,h1301-Aumentó ?
consumo_frutas_covid-2,h1301-Disminuyó ?
consumo_frutas_covid-3,h1301-Fue igual ?
consumo_frutas_covid-4,h1301-No sabe/no responde
consumo_harina_covid-1,h1307-Aumentó ?
consumo_harina_covid-2,h1307-Disminuyó ?
consumo_harina_covid-3,h1307-Fue igual ?
consumo_harina_covid-4,h1307-No sabe/no responde
consumo_leche__covid-1,h1305-Aumentó ?
consumo_leche__covid-2,h1305-Disminuyó ?
consumo_leche__covid-3,h1305-Fue igual ?
consumo_leche__covid-4,h1305-No sabe/no responde
consumo_legumbres_covid-1,h1303-Aumentó ?
consumo_legumbres_covid-2,h1303-Disminuyó ?
consumo_legumbres_covid-3,h1303-Fue igual ?
consumo_legumbres_covid-4,h1303-No sabe/no responde
consumo_pan_dulce_covid-1,h1310-Aumentó ?
consumo_pan_dulce_covid-2,h1310-Disminuyó ?
consumo_pan_dulce_covid-3,h1310-Fue igual ?
consumo_pan_dulce_covid-4,h1310-No sabe/no responde
consumo_refrescos_covid-1,h1311-Aumentó ?
consumo_refrescos_covid-2,h1311-Disminuyó ?
consumo_refrescos_covid-3,h1311-Fue igual ?
consumo_refrescos_covid-4,h1311-No sabe/no responde
consumo_tortillas_covid-1,h1306-Aumentó ?
consumo_tortillas_covid-2,h1306-Disminuyó ?
consumo_tortillas_covid-3,h1306-Fue igual ?
consumo_tortillas_covid-4,h1306-No sabe/no responde
consumo_verduras_covid-1,h1302-Aumentó ?
consumo_verduras_covid-2,h1302-Disminuyó ?
consumo_verduras_covid-3,h1302-Fue igual ?
consumo_verduras_covid-4,h1302-No sabe/no responde
contacto_con_personas-1,"h0325-Sí, soy (es) personal de salud"
contacto_con_personas-2,"h0325-Sí, soy (es) maestro, docente"
contacto_con_personas-3,"h0325-Sí, tengo (tiene) contacto con gente"
contacto_con_personas-4,h0325-No tengo (tiene) contacto con gente
covid_busco_atencion-1,h1208-Sí
covid_busco_atencion-2,h1208-No
covid_busco_atencion-9,h1208-NS/NR
covid_fue_atendido-1,h1211-Sí
covid_fue_atendido-2,h1211-No
covid_fue_atendido-9,h1211-NS/NR
covid_lugar_busco_atencion-1,h1210-Instituto Mexicano del Seguro Social (IMSS)
covid_lugar_busco_atencion-2,h1210-ISSSTE/ISSSTE Estatal
covid_lugar_busco_atencion-3,h1210-PEMEX
covid_lugar_busco_atencion-4,h1210-Defensa
covid_lugar_busco_atencion-5,h1210-Marina
covid_lugar_busco_atencion-6,h1210-Centro de Salud u Hospital de la SSA
covid_lugar_busco_atencion-7,h1210-IMSS Bienestar (antes Oportunidades)
covid_lugar_busco_atencion-8,"h1210-DIF federal, estatal o municipal"
covid_lugar_busco_atencion-9,h1210-Cruz Roja/Cruz Verde
covid_lugar_busco_atencion-10,h1210-Instituto Nacional de Salud
covid_lugar_busco_atencion-11,h1210-Organizaciones (ONG/OSC) que dan atención gratuita/Dispensar
covid_lugar_busco_atencion-12,h1210-Consultorios pertenecientes a farmacias/Farmacias con consul
covid_lugar_busco_atencion-13,h1210-Consultorio dentro de hospital privado
covid_lugar_busco_atencion-14,h1210-Área de urgencias/hospitalización dentro de hospital privado
covid_lugar_busco_atencion-15,h1210-Atención privada en torre de consultorios médicos o en una c
covid_lugar_busco_atencion-16,h1210-Consultorio en domicilio particular de médico privado
covid_lugar_busco_atencion-17,h1210-Atención privada en mi domicilio
covid_lugar_busco_atencion-18,"h1210-Atención privada vía remota (teléfono, mensajes de texto, te"
covid_lugar_busco_atencion-19,h1210-Médico laboral (médico de la empresa)
covid_lugar_busco_atencion-20,"h1210-Curandero, hierbero, naturista"
covid_lugar_busco_atencion-21,"h1210-Homeópata, partera, acupunturista"
covid_lugar_busco_atencion-22,h1210-Otro (especifique)
covid_lugar_busco_atencion-23,h1210-No sabe / No recuerda
cuantas_personas_ve-1,a1505-Ninguno
cuantas_personas_ve-2,a1505-1
cuantas_personas_ve-3,a1505-2
cuantas_personas_ve-4,a1505-3 ó 4
cuantas_personas_ve-5,a1505-5 a 8
cuantas_personas_ve-6,a1505-9 ó más
cuantos_amigos_ve-1,a1508-Ninguno
cuantos_amigos_ve-2,a1508-1
cuantos_amigos_ve-3,a1508-2
cuantos_amigos_ve-4,a1508-3 ó 4
cuantos_amigos_ve-5,a1508-5 a 8
cuantos_amigos_ve-6,a1508-9 ó más
cuenta_tiempo_lavado_manos-1,h1511-Sí
cuenta_tiempo_lavado_manos-2,h1511-No
danio_salud_x_violencia-1,a1205-Sí
danio_salud_x_violencia-2,a1205-No
danio_salud_x_violencia-9,a1205-NS/NR
deporte_en_covid-1,h0903-Sí
deporte_en_covid-2,h0903-No
deporte_en_covid-9,h0903-NS/NR
desinfectan_areas_escuela-1,h1103i-Sí
desinfectan_areas_escuela-2,h1103i-No
desinfectan_areas_escuela-3,h1103i-No Sabe
dia_nacimiento-1,h0304d-01
dia_nacimiento-2,h0304d-02
dia_nacimiento-3,h0304d-03
dia_nacimiento-4,h0304d-04
dia_nacimiento-5,h0304d-05
dia_nacimiento-6,h0304d-06
dia_nacimiento-7,h0304d-07
dia_nacimiento-8,h0304d-08
dia_nacimiento-9,h0304d-09
dia_nacimiento-10,h0304d-10
dia_nacimiento-11,h0304d-11
dia_nacimiento-12,h0304d-12
dia_nacimiento-13,h0304d-13
dia_nacimiento-14,h0304d-14
dia_nacimiento-15,h0304d-15
dia_nacimiento-16,h0304d-16
dia_nacimiento-17,h0304d-17
dia_nacimiento-18,h0304d-18
dia_nacimiento-19,h0304d-19
dia_nacimiento-20,h0304d-20
dia_nacimiento-21,h0304d-21
dia_nacimiento-22,h0304d-22
dia_nacimiento-23,h0304d-23
dia_nacimiento-24,h0304d-24
dia_nacimiento-25,h0304d-25
dia_nacimiento-26,h0304d-26
dia_nacimiento-27,h0304d-27
dia_nacimiento-28,h0304d-28
dia_nacimiento-29,h0304d-29
dia_nacimiento-30,h0304d-30
dia_nacimiento-31,h0304d-31
dia_nacimiento-99,h0304d-No sabe
dia_vacuna_segunda_dosis-1,h16042d-1
dia_vacuna_segunda_dosis-2,h16042d-2
dia_vacuna_segunda_dosis-3,h16042d-3
dia_vacuna_segunda_dosis-4,h16042d-4
dia_vacuna_segunda_dosis-5,h16042d-5
dia_vacuna_segunda_dosis-6,h16042d-6
dia_vacuna_segunda_dosis-7,h16042d-7
dia_vacuna_segunda_dosis-8,h16042d-8
dia_vacuna_segunda_dosis-9,h16042d-9
dia_vacuna_segunda_dosis-10,h16042d-10
dia_vacuna_segunda_dosis-11,h16042d-11
dia_vacuna_segunda_dosis-12,h16042d-12
dia_vacuna_segunda_dosis-13,h16042d-13
dia_vacuna_segunda_dosis-14,h16042d-14
dia_vacuna_segunda_dosis-15,h16042d-15
dia_vacuna_segunda_dosis-16,h16042d-16
dia_vacuna_segunda_dosis-17,h16042d-17
dia_vacuna_segunda_dosis-18,h16042d-18
dia_vacuna_segunda_dosis-19,h16042d-19
dia_vacuna_segunda_dosis-20,h16042d-20
dia_vacuna_segunda_dosis-21,h16042d-21
dia_vacuna_segunda_dosis-22,h16042d-22
dia_vacuna_segunda_dosis-23,h16042d-23
dia_vacuna_segunda_dosis-24,h16042d-24
dia_vacuna_segunda_dosis-25,h16042d-25
dia_vacuna_segunda_dosis-26,h16042d-26
dia_vacuna_segunda_dosis-27,h16042d-27
dia_vacuna_segunda_dosis-28,h16042d-28
dia_vacuna_segunda_dosis-29,h16042d-29
dia_vacuna_segunda_dosis-30,h16042d-30
dia_vacuna_segunda_dosis-31,h16042d-31
dia_vacuna_segunda_dosis-99,h16042d-No recuerda
dia_vacuna_unica_dosis-1,h1604ud-1
dia_vacuna_unica_dosis-2,h1604ud-2
dia_vacuna_unica_dosis-3,h1604ud-3
dia_vacuna_unica_dosis-4,h1604ud-4
dia_vacuna_unica_dosis-5,h1604ud-5
dia_vacuna_unica_dosis-6,h1604ud-6
dia_vacuna_unica_dosis-7,h1604ud-7
dia_vacuna_unica_dosis-8,h1604ud-8
dia_vacuna_unica_dosis-9,h1604ud-9
dia_vacuna_unica_dosis-10,h1604ud-10
dia_vacuna_unica_dosis-11,h1604ud-11
dia_vacuna_unica_dosis-12,h1604ud-12
dia_vacuna_unica_dosis-13,h1604ud-13
dia_vacuna_unica_dosis-14,h1604ud-14
dia_vacuna_unica_dosis-15,h1604ud-15
dia_vacuna_unica_dosis-16,h1604ud-16
dia_vacuna_unica_dosis-17,h1604ud-17
dia_vacuna_unica_dosis-18,h1604ud-18
dia_vacuna_unica_dosis-19,h1604ud-19
dia_vacuna_unica_dosis-20,h1604ud-20
dia_vacuna_unica_dosis-21,h1604ud-21
dia_vacuna_unica_dosis-22,h1604ud-22
dia_vacuna_unica_dosis-23,h1604ud-23
dia_vacuna_unica_dosis-24,h1604ud-24
dia_vacuna_unica_dosis-25,h1604ud-25
dia_vacuna_unica_dosis-26,h1604ud-26
dia_vacuna_unica_dosis-27,h1604ud-27
dia_vacuna_unica_dosis-28,h1604ud-28
dia_vacuna_unica_dosis-29,h1604ud-29
dia_vacuna_unica_dosis-30,h1604ud-30
dia_vacuna_unica_dosis-31,h1604ud-31
dia_vacuna_unica_dosis-99,h1604ud-No recuerda
dich_medico_col_alto-1,a0604-SI.
dich_medico_col_alto-2,a0604-NO.
dich_medico_padece_calculo_renal-1,a0601b-SI.
dich_medico_padece_calculo_renal-2,a0601b-NO.
dich_medico_padece_enf_renal-1,a0601a-SI.
dich_medico_padece_enf_renal-2,a0601a-NO.
dich_medico_trig_alto-1,a0606-SI.
dich_medico_trig_alto-2,a0606-NO.
dich_medico_tuvo_angina-1,a0502b-SÍ.
dich_medico_tuvo_angina-2,a0502b-NO.
dich_medico_tuvo_infarto-1,a0502a-SÍ.
dich_medico_tuvo_infarto-2,a0502a-NO.
dich_medico_tuvo_infarto_cereb-1,a0506-SÍ.
dich_medico_tuvo_infarto_cereb-2,a0506-NO.
dich_medico_tuvo_infarto_cereb-9,a0506-No sabe.
dich_medico_tuvo_insuf_card-1,a0502c-SÍ.
dich_medico_tuvo_insuf_card-2,a0502c-NO.
disminucion_acceso_agua-1,h0802-Nunca (0 veces en las últimas 4 semanas)
disminucion_acceso_agua-2,h0802-Raramente (1-2 veces en las últimas 4 semanas)
disminucion_acceso_agua-3,h0802-A veces (3-10 veces en las últimas 4 semanas)
disminucion_acceso_agua-4,h0802-Frecuentemente (11-20 veces en las últimas 4 semana)
disminucion_acceso_agua-5,h0802-Siempre (Más de 20 veces en las últimas 4 semanas)
disminucion_acceso_agua-88,h0802-No aplica
disminucion_acceso_agua-99,h0802-No sabe
disminuir_alimento_menor-1,h0714-Sí
disminuir_alimento_menor-2,h0714-No
disminuir_alimento_menor-8,h0714-No responde
disminuir_alimento_menor-9,h0714-No sabe
duermen_donde_cocinan-1,h0108-Sí
duermen_donde_cocinan-2,h0108-No
durante_embarazo_acido_folico-1,a0815k-Sí.
durante_embarazo_acido_folico-2,a0815k-No.
durante_embarazo_acido_folico-9,a0815k-NS/NR.
durante_embarazo_anticonceptivo-1,a0815n-Sí.
durante_embarazo_anticonceptivo-2,a0815n-No.
durante_embarazo_anticonceptivo-9,a0815n-NS/NR.
durante_embarazo_examen_orina-1,a0815d-Sí.
durante_embarazo_examen_orina-2,a0815d-No.
durante_embarazo_examen_orina-9,a0815d-NS/NR.
durante_embarazo_leche_materna-1,a0815o-Sí.
durante_embarazo_leche_materna-2,a0815o-No.
durante_embarazo_leche_materna-9,a0815o-NS/NR.
durante_embarazo_midieron-1,a0815a-Sí.
durante_embarazo_midieron-2,a0815a-No.
durante_embarazo_midieron-9,a0815a-NS/NR.
durante_embarazo_midieron_azucar-1,a0815f-Sí.
durante_embarazo_midieron_azucar-2,a0815f-No.
durante_embarazo_midieron_azucar-9,a0815f-NS/NR.
durante_embarazo_midieron_panza-1,a0815p-Sí.
durante_embarazo_midieron_panza-2,a0815p-No.
durante_embarazo_midieron_panza-9,a0815p-NS/NR.
durante_embarazo_midieron_presion-1,a0815c-Sí.
durante_embarazo_midieron_presion-2,a0815c-No.
durante_embarazo_midieron_presion-9,a0815c-NS/NR.
durante_embarazo_pesaron-1,a0815b-Sí.
durante_embarazo_pesaron-2,a0815b-No.
durante_embarazo_pesaron-9,a0815b-NS/NR.
durante_embarazo_prueba_vih-1,a0815h-Sí.
durante_embarazo_prueba_vih-2,a0815h-No.
durante_embarazo_prueba_vih-9,a0815h-NS/NR.
durante_embarazo_prueba_vrdl-1,a0815g-Sí.
durante_embarazo_prueba_vrdl-2,a0815g-No.
durante_embarazo_prueba_vrdl-9,a0815g-NS/NR.
durante_embarazo_quimica_sanguinea-1,a0815e-Sí.
durante_embarazo_quimica_sanguinea-2,a0815e-No.
durante_embarazo_quimica_sanguinea-9,a0815e-NS/NR.
durante_embarazo_salud_mental-1,a0815m-Sí.
durante_embarazo_salud_mental-2,a0815m-No.
durante_embarazo_salud_mental-9,a0815m-NS/NR.
durante_embarazo_sup_alimenticio-1,a0815l-Sí.
durante_embarazo_sup_alimenticio-2,a0815l-No.
durante_embarazo_sup_alimenticio-9,a0815l-NS/NR.
durante_embarazo_ultrasonido-1,a0815i-Sí.
durante_embarazo_ultrasonido-2,a0815i-No.
durante_embarazo_ultrasonido-9,a0815i-NS/NR.
durante_embarazo_vacunacion_tetanos-1,a0815j-Sí.
durante_embarazo_vacunacion_tetanos-2,a0815j-No.
durante_embarazo_vacunacion_tetanos-9,a0815j-NS/NR.
dx_presion_alta-1,a0401-SÍ.
dx_presion_alta-2,"a0401-SÍ, durante el embarazo."
dx_presion_alta-3,a0401-NO.
dx_presion_alta_embarazada-1,a0403-SÍ.
dx_presion_alta_embarazada-2,a0403-NO.
edad_hmno_infarto_1-1,a0704h-<50.
edad_hmno_infarto_1-2,a0704h->=50.
edad_hmno_infarto_1-9,a0704h-NO SABE.
edad_madre_infarto_1-1,a0704m-<50.
edad_madre_infarto_1-2,a0704m->=50.
edad_madre_infarto_1-9,a0704m-NO SABE.
edad_padre_infarto_1-1,a0704p-<50.
edad_padre_infarto_1-2,a0704p->=50.
edad_padre_infarto_1-9,a0704p-NO SABE.
elegible_vacuna-1,"h1601-Sí, soy (es) personal de salud"
elegible_vacuna-2,"h1601-Sí, tengo (tiene) más de 60 años"
elegible_vacuna-3,"h1601-Sí, tengo (tiene) entre 50 y 59 años"
elegible_vacuna-4,"h1601-Sí, tengo (tiene) entre 40 y 49 años"
elegible_vacuna-5,"h1601-Sí, soy (es) maestro/docente"
elegible_vacuna-6,"h1601-Sí, estoy (está) o estuve (estuvo) embarazada"
elegible_vacuna-7,h1601-Otro (especificar)
elegible_vacuna-8,h1601-No soy (es) elegible
elegible_vacuna-9,h1601-No sé
entidad-1,entidad-01 AGUASCALIENTES
entidad-2,entidad-02 BAJA CALIFORNIA
entidad-3,entidad-03 BAJA CALIFORNIA SUR
entidad-4,entidad-04 CAMPECHE
entidad-5,entidad-05 COAHUILA DE ZARAGOZA
entidad-6,entidad-06 COLIMA
entidad-7,entidad-07 CHIAPAS
entidad-8,entidad-08 CHIHUAHUA
entidad-9,entidad-09 CIUDAD DE MÉXICO
entidad-10,entidad-10 DURANGO
entidad-11,entidad-11 GUANAJUATO
entidad-12,entidad-12 GUERRERO
entidad-13,entidad-13 HIDALGO
entidad-14,entidad-14 JALISCO
entidad-15,entidad-15 MÉXICO
entidad-16,entidad-16 MICHOACÁN DE OCAMPO
entidad-17,entidad-17 MORELOS
entidad-18,entidad-18 NAYARIT
entidad-19,entidad-19 NUEVO LEÓN
entidad-20,entidad-20 OAXACA
entidad-21,entidad-21 PUEBLA
entidad-22,entidad-22 QUERÉTARO
entidad-23,entidad-23 QUINTANA ROO
entidad-24,entidad-24 SAN LUIS POTOSÍ
entidad-25,entidad-25 SINALOA
entidad-26,entidad-26 SONORA
entidad-27,entidad-27 TABASCO
entidad-28,entidad-28 TAMAULIPAS
entidad-29,entidad-29 TLAXCALA
entidad-30,entidad-30 VERACRUZ DE IGNACIO DE LA LLAVE
entidad-31,entidad-31 YUCATÁN
entidad-32,entidad-32 ZACATECAS
escalado_recreso_escuela-1,h1103k-Sí
escalado_recreso_escuela-2,h1103k-No
escalado_recreso_escuela-3,h1103k-No Sabe
escaldo_acceso_escuela-1,h1103j-Sí
escaldo_acceso_escuela-2,h1103j-No
escaldo_acceso_escuela-3,h1103j-No Sabe
estado_civil-1,h0319-vive con su pareja en unión libre?
estado_civil-2,h0319-está separada(o) de una union libre?
estado_civil-3,h0319-está separada(o) de un matrimonio?
estado_civil-4,h0319-está divorciada(o)?
estado_civil-5,h0319-está viuda(o)?
estado_civil-6,h0319-está casada(o) civil o religiosamente?
estado_civil-7,h0319-está soltera(o)?
estado_nacimiento-1,h0306e-01 AGUASCALIENTES
estado_nacimiento-2,h0306e-02 BAJA CALIFORNIA
estado_nacimiento-3,h0306e-03 BAJA CALIFORNIA SUR
estado_nacimiento-4,h0306e-04 CAMPECHE
estado_nacimiento-5,h0306e-05 COAHUILA DE ZARAGOZA
estado_nacimiento-6,h0306e-06 COLIMA
estado_nacimiento-7,h0306e-07 CHIAPAS
estado_nacimiento-8,h0306e-08 CHIHUAHUA
estado_nacimiento-9,h0306e-09 CIUDAD DE MÉXICO
estado_nacimiento-10,h0306e-10 DURANGO
estado_nacimiento-11,h0306e-11 GUANAJUATO
estado_nacimiento-12,h0306e-12 GUERRERO
estado_nacimiento-13,h0306e-13 HIDALGO
estado_nacimiento-14,h0306e-14 JALISCO
estado_nacimiento-15,h0306e-15 MÉXICO
estado_nacimiento-16,h0306e-16 MICHOACÁN DE OCAMPO
estado_nacimiento-17,h0306e-17 MORELOS
estado_nacimiento-18,h0306e-18 NAYARIT
estado_nacimiento-19,h0306e-19 NUEVO LEÓN
estado_nacimiento-20,h0306e-20 OAXACA
estado_nacimiento-21,h0306e-21 PUEBLA
estado_nacimiento-22,h0306e-22 QUERÉTARO
estado_nacimiento-23,h0306e-23 QUINTANA ROO
estado_nacimiento-24,h0306e-24 SAN LUIS POTOSÍ
estado_nacimiento-25,h0306e-25 SINALOA
estado_nacimiento-26,h0306e-26 SONORA
estado_nacimiento-27,h0306e-27 TABASCO
estado_nacimiento-28,h0306e-28 TAMAULIPAS
estado_nacimiento-29,h0306e-29 TLAXCALA
estado_nacimiento-30,h0306e-30 VERACRUZ DE IGNACIO DE LA LLAVE
estado_nacimiento-31,h0306e-31 YUCATÁN
estado_nacimiento-32,h0306e-32 ZACATECAS
estudiante_continuan_virtual-1,h1518-Sí
estudiante_continuan_virtual-2,h1518-No
estudiante_continuan_virtual-9,h1518-No aplica
estufa_cocinar-1,h0110-Estufa o parrilla de gas
estufa_cocinar-2,h0110-Estufa o parrilla eléctrica
estufa_cocinar-3,h0110-Fuego abierto u horno sin chimenea ni campana
estufa_cocinar-4,h0110-Fuego abierto u horno con chimenea o campana
estufa_cocinar-5,h0110-Horno cerrado con chimenea
estufa_cocinar-6,h0110-Otro
evitar_saludos_escuela-1,h1103f-Sí
evitar_saludos_escuela-2,h1103f-No
evitar_saludos_escuela-3,h1103f-No Sabe
excepciones_quedar_casa_1-1,h1005a-Por trabajo
excepciones_quedar_casa_1-2,h1005a-Comprar insumos indispensables para el hogar
excepciones_quedar_casa_1-3,h1005a-Necesidad en salud
excepciones_quedar_casa_1-4,h1005a-No creo estar en riesgo
excepciones_quedar_casa_1-5,h1005a-Necesidad de contacto humano
excepciones_quedar_casa_1-6,h1005a-No creo que funcione esta medida
excepciones_quedar_casa_1-7,h1005a-No me interesa cumplir con esa medida)
excepciones_quedar_casa_1-8,h1005a-Sale a ejercitarse
excepciones_quedar_casa_1-9,h1005a-Lleva a los niños a la escuela
excepciones_quedar_casa_1-10,h1005a-Otro especificar
excepciones_quedar_casa_2-1,h1005b-Por trabajo
excepciones_quedar_casa_2-2,h1005b-Comprar insumos indispensables para el hogar
excepciones_quedar_casa_2-3,h1005b-Necesidad en salud
excepciones_quedar_casa_2-4,h1005b-No creo estar en riesgo
excepciones_quedar_casa_2-5,h1005b-Necesidad de contacto humano
excepciones_quedar_casa_2-6,h1005b-No creo que funcione esta medida
excepciones_quedar_casa_2-7,h1005b-No me interesa cumplir con esa medida)
excepciones_quedar_casa_2-8,h1005b-Sale a ejercitarse
excepciones_quedar_casa_2-9,h1005b-Lleva a los niños a la escuela
excepciones_quedar_casa_2-10,h1005b-Otro especificar
falta_alimento_nutritivo_adultos-1,h0703-Sí
falta_alimento_nutritivo_adultos-2,h0703-No
falta_alimento_nutritivo_adultos-8,h0703-No responde
falta_alimento_nutritivo_adultos-9,h0703-No sabe
falta_alimento_nutritivo_menor-1,h0710-Sí
falta_alimento_nutritivo_menor-2,h0710-No
falta_alimento_nutritivo_menor-8,h0710-No responde
falta_alimento_nutritivo_menor-9,h0710-No sabe
falta_alimentos_adultos-1,h0701-Sí
falta_alimentos_adultos-2,h0701-No
falta_alimentos_adultos-8,h0701-No responde
falta_alimentos_adultos-9,h0701-No sabe
familiares_acude_ayuda-1,a1507-Ninguno
familiares_acude_ayuda-2,a1507-1
familiares_acude_ayuda-3,a1507-2
familiares_acude_ayuda-4,a1507-3 ó 4
familiares_acude_ayuda-5,a1507-5 a 8
familiares_acude_ayuda-6,a1507-9 ó más
familiares_se_confiesa-1,a1506-Ninguno
familiares_se_confiesa-2,a1506-1
familiares_se_confiesa-3,a1506-2
familiares_se_confiesa-4,a1506-3 ó 4
familiares_se_confiesa-5,a1506-5 a 8
familiares_se_confiesa-6,a1506-9 ó más
