variable,alias
accidento_genitales-99,a1106j-NS/NR
accidento_otra_lesion-1,a1106la-Sí
accidento_otra_lesion-2,a1106la-No
accidento_pelvis-1,a1106c-Contusión
accidento_pelvis-2,a1106c-Moretón
accidento_pelvis-3,a1106c-Esguince o torcedura
accidento_pelvis-4,a1106c-Luxación
accidento_pelvis-5,a1106c-Fractura
accidento_pelvis-6,a1106c-Herida
accidento_pelvis-7,a1106c-Laceración
accidento_pelvis-8,a1106c-Lesión de nervios
accidento_pelvis-9,a1106c-Amputación
accidento_pelvis-10,a1106c-Aplastamiento
accidento_pelvis-11,a1106c-Quemadura de primer grado
accidento_pelvis-12,a1106c-Quemadura de segundo grado
accidento_pelvis-13,a1106c-Quemadura de tercer grado
accidento_pelvis-14,a1106c-Heridas múltiples
accidento_pelvis-15,a1106c-Daño-afectación de órganos
accidento_pelvis-16,a1106c-Otras/no especificadas
accidento_pelvis-17,a1106c-Ninguna otra lesión
accidento_pelvis-99,a1106c-NS/NR
accidento_pie-1,a1106i-Contusión
accidento_pie-2,a1106i-Moretón
accidento_pie-3,a1106i-Esguince o torcedura
accidento_pie-4,a1106i-Luxación
accidento_pie-5,a1106i-Fractura
accidento_pie-6,a1106i-Herida
accidento_pie-7,a1106i-Laceración
accidento_pie-8,a1106i-Lesión de nervios
accidento_pie-9,a1106i-Amputación
accidento_pie-10,a1106i-Aplastamiento
accidento_pie-11,a1106i-Quemadura de primer grado
accidento_pie-12,a1106i-Quemadura de segundo grado
accidento_pie-13,a1106i-Quemadura de tercer grado
accidento_pie-14,a1106i-Heridas múltiples
accidento_pie-15,a1106i-Daño-afectación de órganos
accidento_pie-16,a1106i-Otras/no especificadas
accidento_pie-17,a1106i-Ninguna otra lesión
accidento_pie-99,a1106i-NS/NR
accidento_pierna-1,a1106h-Contusión
accidento_pierna-2,a1106h-Moretón
accidento_pierna-3,a1106h-Esguince o torcedura
accidento_pierna-4,a1106h-Luxación
accidento_pierna-5,a1106h-Fractura
accidento_pierna-6,a1106h-Herida
accidento_pierna-7,a1106h-Laceración
accidento_pierna-8,a1106h-Lesión de nervios
accidento_pierna-9,a1106h-Amputación
accidento_pierna-10,a1106h-Aplastamiento
accidento_pierna-11,a1106h-Quemadura de primer grado
accidento_pierna-12,a1106h-Quemadura de segundo grado
accidento_pierna-13,a1106h-Quemadura de tercer grado
accidento_pierna-14,a1106h-Heridas múltiples
accidento_pierna-15,a1106h-Daño-afectación de órganos
accidento_pierna-16,a1106h-Otras/no especificadas
accidento_pierna-17,a1106h-Ninguna otra lesión
accidento_pierna-99,a1106h-NS/NR
accidento_torax-1,a1106b-Contusión
accidento_torax-2,a1106b-Moretón
accidento_torax-3,a1106b-Esguince o torcedura
accidento_torax-4,a1106b-Luxación
accidento_torax-5,a1106b-Fractura
accidento_torax-6,a1106b-Herida
accidento_torax-7,a1106b-Laceración
accidento_torax-8,a1106b-Lesión de nervios
accidento_torax-9,a1106b-Amputación
accidento_torax-10,a1106b-Aplastamiento
accidento_torax-11,a1106b-Quemadura de primer grado
accidento_torax-12,a1106b-Quemadura de segundo grado
accidento_torax-13,a1106b-Quemadura de tercer grado
accidento_torax-14,a1106b-Heridas múltiples
accidento_torax-15,a1106b-Daño-afectación de órganos
accidento_torax-16,a1106b-Otras/no especificadas
accidento_torax-17,a1106b-Ninguna otra lesión
accidento_torax-99,a1106b-NS/NR
accion_control_col_alto_1-1,a0605a-Medicamento.
accion_control_col_alto_1-2,a0605a-Dieta.
accion_control_col_alto_1-3,a0605a-Aumento de actividad física.
accion_control_col_alto_1-4,a0605a-Medicina Alternativa
accion_control_col_alto_1-5,a0605a-Ninguna.
accion_control_col_alto_2-1,a0605b-Medicamento.
accion_control_col_alto_2-2,a0605b-Dieta.
accion_control_col_alto_2-3,a0605b-Aumento de actividad física.
accion_control_col_alto_2-4,a0605b-Medicina Alternativa
accion_control_col_alto_2-5,a0605b-Ninguna.
accion_control_trig_alto_1-1,a0607a-Medicamento.
accion_control_trig_alto_1-2,a0607a-Dieta.
accion_control_trig_alto_1-3,a0607a-Aumento de actividad física.
accion_control_trig_alto_1-4,a0607a-Medicina Alternativa
accion_control_trig_alto_1-5,a0607a-Ninguna.
accion_control_trig_alto_2-1,a0607b-Medicamento.
accion_control_trig_alto_2-2,a0607b-Dieta.
accion_control_trig_alto_2-3,a0607b-Aumento de actividad física.
accion_control_trig_alto_2-4,a0607b-Medicina Alternativa
accion_control_trig_alto_2-5,a0607b-Ninguna.
accion_control_trig_col_alto_1-1,"a0608a-Pravastatina, atorvastatina simvastatina, rosuvastatina, pit"
accion_control_trig_col_alto_1-2,"a0608a-Bezafibrato, fenofibrato, gemfibrozil, ciprofibrato."
accion_control_trig_col_alto_1-3,a0608a-Otros.
accion_control_trig_col_alto_1-4,a0608a-Ninguna
accion_control_trig_col_alto_2-1,"a0608b-Pravastatina, atorvastatina simvastatina, rosuvastatina, pit"
accion_control_trig_col_alto_2-2,"a0608b-Bezafibrato, fenofibrato, gemfibrozil, ciprofibrato."
accion_control_trig_col_alto_2-3,a0608b-Otros.
accion_control_trig_col_alto_2-4,a0608b-Ninguna
acciones_perder_peso_1-1,a0110a-disminuir el tamaño de las porciones?
acciones_perder_peso_1-2,a0110a-aumentar la actividad física?
acciones_perder_peso_1-3,a0110a-seguir las recomendaciones de un profesional de la salud?
acciones_perder_peso_1-4,a0110a-tomar medicamentos para perder peso?
acciones_perder_peso_1-5,a0110a-eliminar el consumo de refrescos?
acciones_perder_peso_1-6,a0110a-aumentar el consumo de vegetales y alimentos ricos en fibra
acciones_perder_peso_1-7,a0110a-realizar algún tipo de ejercicio?
acciones_perder_peso_1-8,a0110a-tomar mucha agua?
acciones_perder_peso_1-9,a0110a-Otra forma (especifica).
acciones_perder_peso_2-1,a0110b-disminuir el tamaño de las porciones?
acciones_perder_peso_2-2,a0110b-aumentar la actividad física?
acciones_perder_peso_2-3,a0110b-seguir las recomendaciones de un profesional de la salud?
acciones_perder_peso_2-4,a0110b-tomar medicamentos para perder peso?
acciones_perder_peso_2-5,a0110b-eliminar el consumo de refrescos?
acciones_perder_peso_2-6,a0110b-aumentar el consumo de vegetales y alimentos ricos en fibra
acciones_perder_peso_2-7,a0110b-realizar algún tipo de ejercicio?
acciones_perder_peso_2-8,a0110b-tomar mucha agua?
acciones_perder_peso_2-9,a0110b-Otra forma (especifica).
acciones_perder_peso_3-1,a0110c-disminuir el tamaño de las porciones?
