"subcategoria","var","var_alias","description","visibility","var_type","is_category"
"Industrias manufactureras","485410_2017","Escolar_2017","Transporte escolar y de personal","visible","integer",FALSE
"Industrias manufactureras","485510_2017","Autobuses_2017","Alquiler de autobuses con chofer","visible","integer",FALSE
"Industrias manufactureras","485990_2017","Transporte_2017","Otro transporte terrestre de pasajeros","visible","integer",FALSE
"Industrias manufactureras","486110_2017","Petróleo_2017","Transporte de petróleo crudo por ductos","visible","integer",FALSE
"Industrias manufactureras","486210_2017","Gasnatural_2017","Transporte de gas natural por ductos","visible","integer",FALSE
"Industrias manufactureras","486910_2017","Porductos_2017","Transporte por ductos de productos refinados del petróleo","visible","integer",FALSE
"Industrias manufactureras","487110_2017","Turístico_2017","Transporte turístico por tierra","visible","integer",FALSE
"Industrias manufactureras","487210_2017","Turístico_2017","Transporte turístico por agua","visible","integer",FALSE
"Industrias manufactureras","487990_2017","Transporte_2017","Otro transporte turístico","visible","integer",FALSE
"Industrias manufactureras","488111_2017","Servicios_2017","Servicios a la navegación aérea","visible","integer",FALSE
"Industrias manufactureras","488112_2017","Aeropuerto_2017","Administración de aeropuertos y helipuertos","visible","integer",FALSE
"Industrias manufactureras","488190_2017","Relacionad_2017","Otros servicios relacionados con el transporte aéreo","visible","integer",FALSE
"Industrias manufactureras","488210_2017","Servicios_2017","Servicios relacionados con el transporte por ferrocarril","visible","integer",FALSE
"Industrias manufactureras","488310_2017","Puertos_2017","Administración de puertos y muelles","visible","integer",FALSE
"Industrias manufactureras","488320_2017","Carga_2017","Servicios de carga y descarga para el transporte por agua","visible","integer",FALSE
"Industrias manufactureras","488330_2017","Servicios_2017","Servicios para la navegación por agua","visible","integer",FALSE
"Industrias manufactureras","488390_2017","Relacionad_2017","Otros servicios relacionados con el transporte por agua","visible","integer",FALSE
"Industrias manufactureras","488410_2017","Grúa_2017","Servicios de grúa","visible","integer",FALSE
"Industrias manufactureras","488491_2017","Administra_2017","Servicios de administración de centrales camioneras","visible","integer",FALSE
"Industrias manufactureras","488492_2017","Administra_2017","Servicios de administración de carreteras, puentes y servicios auxiliares","visible","integer",FALSE
"Industrias manufactureras","488493_2017","Báscula_2017","Servicios de báscula para el transporte y otros servicios relacionados con el transporte por carretera","visible","integer",FALSE
"Industrias manufactureras","488511_2017","Agencias_2017","Servicios de agencias aduanales","visible","integer",FALSE
"Industrias manufactureras","488519_2017","Intermedia_2017","Otros servicios de intermediación para el transporte de carga","visible","integer",FALSE
"Industrias manufactureras","488990_2017","Relacionad_2017","Otros servicios relacionados con el transporte","visible","integer",FALSE
"Industrias manufactureras","491110_2017","Servicios_2017","Servicios postales","visible","integer",FALSE
"Industrias manufactureras","492110_2017","Mensajería_2017","Servicios de mensajería y paquetería foránea","visible","integer",FALSE
"Industrias manufactureras","492210_2017","Mensajería_2017","Servicios de mensajería y paquetería local","visible","integer",FALSE
"Industrias manufactureras","493111_2017","Almacenes_2017","Almacenes generales de depósito","visible","integer",FALSE
